id,kind,phase,decision,title,upstream_refs,acceptance,reason,aliases
R1,capability,2,absorb,工具批次 wall-clock deadline,c1784e909,阶段2工具 deadline 专项与全量门禁通过,本地缺少有界批次超时,
R2,capability,5,absorb,cross-wired run 结构化拒绝,cd5fb760a;f7bf74064,阶段5并发身份冲突测试与全量门禁通过,本地仍会 silent replace,
R3,capability,10,absorb,MCP 双下划线命名,e01f58ff1;b70a4e753,阶段10 wire-name 兼容测试与全量门禁通过,本地仍采用单下划线命名,
R4,capability,1,absorb,SQLite off-event-loop,022548036;811df74a1,阶段1事件循环延迟与真实 SQLite 测试通过,async runtime 仍直接执行同步 SQLite,
M1,capability,2,absorb,MoA reference 与 aggregator 统一计量,aa605b66c;3bdb23de1,阶段2五次调用产生五条可归属 usage,当前 MoA 调用丢弃 usage,
M2,capability,0,equivalent,reasoning token 双源,3a122ba4a,账本校验与既有 usage pricing 回归通过,b49f60b82 已覆盖两类 token details,
M3,capability,0,equivalent,compressor session-end 状态清理,c71f81695,账本校验与既有 session-end 回归通过,b301d3bd 已清理完整状态,
M4,capability,6,absorb,跨 turn stream-stale breaker,985e19c11;d43863f00;2985d16be,阶段6 streaming/non-streaming restart/half-open/reset 测试通过,本地只有单 turn stale timeout,
B1,branch,1,superseded,gateway DB off-event-loop,fix/gateway-db-off-event-loop,由 R4 的阶段1验收覆盖,R4 是当前架构下的统一 owner,R4
B2,branch,12,absorb,stream silence marker 不外泄,fix/stream-silence-marker-leak,阶段12 UI 投影与全量门禁通过,本地缺少对应行为证明,
B3,branch,12,absorb,fallback chain exhaustion cooldown 与 monotonic gate,fae920642;5f91da2d1;fix/flaky-fallback-cooldown-timing,阶段12耗尽节流、递归 reason 与时钟跳变测试通过,本地缺少非限流耗尽后的跨 turn 节流,
B4,branch,12,absorb,vision fanout 并发上限,fix/vision-fanout-concurrency-cap,阶段12压力与内存上限测试通过,Dovie 使用 vision 且当前无统一并发上限,
B5,branch,0,skip-with-reason,memory SDK 惰性安装,fix/memory-lazy-install,账本 skip reason 复核通过,依赖安装策略不属于本轮运行时手动吸收范围,
B6,branch,12,absorb,prompt caching toggle 全路径生效,feat/prompt-caching-enabled-toggle-v2,阶段12 model switch 与 fallback 测试通过,本地缺少全路径行为证明,
RT1,capability,10,absorb,MCP initialize handshake 有界超时,1f6836cd8;4638f3b43,阶段10超时与 subprocess 清理测试通过,本地 MCP handshake 缺少完整生命周期证明,
RT2,capability,10,absorb,MCP parked-server self-probe 恢复,2ea03d8c6;e412316b8,阶段10 park revive 与重新注册测试通过,本地缺少统一恢复状态机,
RT3,capability,11,absorb,Kanban board-scoped 非阻塞锁,e581740aa,阶段11多进程 dispatcher 互斥测试通过,本地缺少对应行为证明,
RT4,capability,12,absorb,httpx keepalive pool 生命周期,8324dd19c;51c1ba697,阶段12 proxy、pool limits、无 socket override 与全量门禁通过,需要按当前 client factory 统一设计,
RT5,capability,5,absorb,interrupted turn 孤儿 tool 修剪,81d2dc5d0;2d286a6d0,阶段5三条 early-return 路径测试通过,当前 finalizer 只有诊断没有修剪,
RT6,capability,5,absorb,pre-API 空 tool_calls 与重复 id 清洗,a7932d86c;dba585c17,阶段5所有 transport 消息不变量测试通过,本地清洗不完整,
RT7,capability,5,absorb,resume freshness 持久化信号,c2db3ed7d,阶段5重启恢复测试通过,当前不能只依赖进程内状态,
RT8,capability,5,superseded,delegate 级联 visited set,56255f83f,阶段5自环/双向环/多父引用只删除显式目标且子 transcript 保留,当前 repository/application service 已用子会话脱钩保留取代递归级联删除,
A1,capability,7,absorb,通用 approval gate 与 hook 升级,f512d6f02;117f49b7d,阶段7 model/registry/sequential/concurrent/Gateway/worker 单一 seam 测试通过,本地缺少单一 approval seam,
A2,capability,7,absorb,tool 级持久审批 rule key,36308f066,阶段7 explicit key/reason hash/session isolation/permanent persistence 测试通过,本地缺少 reason hash 规则,
A3,capability,7,absorb,用户 deny 配置硬拦,e2fe529ef,阶段7 deny 先于 yolo/off/allowlist 且零 pending/handler 测试通过,本地缺少统一 deny 前置门禁,
A4,capability,7,absorb,deny reason 回传 agent,cb6c47af0,阶段7 500 字符单行限制与 Gateway/TUI/worker transport 一致性测试通过,本地审批拒绝缺少稳定原因合同,
A5,capability,7,absorb,Approval 用户可见 prompt 脱敏,4a7a6fd40,阶段7 command/description/MCP 展示脱敏且 raw policy/execution 不变测试通过,本地显示边界脱敏不完整,
C1,capability,6,absorb,compression 期间 interrupt 降级为 queue,5eaccf580,阶段6 legacy/Codex FIFO queue 与正常 interrupt 恢复测试通过,保护状态已有定义但无消费者,
C2,capability,8,absorb,hook 大输出 spill to disk,eab208db7,安全 spill/大小上限/路径/清理/fail-bounded 专项及全量通过,pre_llm 聚合成为唯一 cap owner,
C3,capability,0,skip-with-reason,live reasoning 默认开启,0800af0b8;a124d1676,账本 skip reason 复核通过,产品默认值不作为本轮架构能力吸收项,
CX1,capability,9,absorb,Codex native compaction,d1c8c0341;87b65e24a,阶段9 native compaction 生命周期测试通过,本地 Codex 路径仍有 legacy compressor 耦合,
CX2,capability,9,absorb,Codex app-server reasoning delta,b3b1e58ad;538173f67,阶段9 reasoning 流式投影测试通过,当前只累积最终 reasoning 字段,
CX3,capability,0,equivalent,Codex 272K auto-raise,948993cd6;60391d0ee,账本校验与既有 GPT-5.6 回归通过,b49f60b82 已落地可关闭 auto-raise,
CX4,capability,9,absorb,Verification 通用 hook,verification-hook,阶段9 verification evidence 与 hook 测试通过,本地缺少通用 verification aggregate,
CB1,product,14,absorb,Context breakdown 全运行面投影,fd324562d;6aefc9d92,CLI/TUI/Gateway/API 共用 breakdown 合同与专项测试通过,上下文构成是运行时事实而非单一 UI 产品逻辑,
CB2,capability,0,equivalent,Copilot x-initiator per turn,6f052b7ff,账本校验与既有 Copilot 回归通过,hermes_cli copilot auth 已按 turn 切换,
CB3,capability,8,absorb,delegation headroom 分配与 spill,35a0803a3,预算幂等/headroom/fan-in 顺序/安全 spill 专项及全量通过,delegation_summary 成为唯一预算 owner,
U1,capability,1,absorb,macOS SQLite synchronous FULL,9aba95b05317,阶段1真实 reopen 与 PRAGMA 测试通过,本地连接工厂未统一设置 synchronous,
U2,capability,2,absorb,registry result 与 effect contract,f8361d29c8e2;5e50f18b3041;a0a6cd80f5c7;b9b463f3bd65,阶段2 registry 到 replay 纵向测试通过,本地缺少完整 producer contract,
U3,capability,3,absorb,catalog redirect credential policy,a061788d4356;5415b77658e9;6e75ba7fa066;1f46145e0391;d83cd6f7c3ac,阶段3 same-origin 与跨 origin 测试通过,本地缺少唯一 redirect policy,
U4,capability,1,superseded,gateway 同步 DB 调用族,24ea21993f81;08e9dcf182a9;9d38a2309ece;b3f77f5c8270;94c2a4016bed;d23990f527cb,由 R4 的阶段1验收覆盖,R4 已提升为统一 async SessionStore port,R4
U5,capability,6,absorb,compaction anti-thrash 与 fail-closed breaker,76381e2a8e3a;32f30d2a4f95;83000c7295a0;5ce827cac9f9;af7dceaf77bb;2627933f337b;8f29c9f4e302;fd461b58cad4,阶段6 threshold/真实usage/restart/rotation/lease fail-closed 测试通过,本地仅有已被上游证明不充分的旧计数器,
U6,capability,5,absorb,close handoff 与 flush serialization,475922f2ce12;0b422559f3b2;50aebcbcffad;69fd846ef86c;8341d775a97f,阶段5五组会话竞态测试通过,当前重构缺少等价证明,
